original,translated
I would like to book a table for _[number of people]_ at _[time]_.,Mi ŝatas rezervi tablon por _[nombro de personoj]_ ĉe _[tempo]_.
"A table for _[number of people]_, please.","Tabulo por _[nombro de personoj]_, bonvolu."
Do you accept credit cards?,Ĉu vi akceptas kreditkartojn?
Do you offer vegetarian food?,Ĉu vi proponas vegetaran manĝaĵon?
Do you offer kosher food?,Ĉu vi proponas koŝeran manĝaĵon?
Do you offer halal food?,Ĉu vi proponas halalan manĝaĵon?
Do you show sports? We would like to watch the ___ game.,Ĉu vi montras sportojn? Ni ŝatas rigardi la matĉon de ____.
"May I see the menu, please?","Ĉu mi povas vidi la menuon, bonvolu?"
"Excuse me. We would like to order, please.","Pardonu min. Ni ŝatas ordigi, bonvolu."
What can you recommend on the menu?,Kion vi rekomendas sur la menuo?
Is there a house specialty?,Ĉu estas specialaĵo de la restoracio?
Is there a local specialty?,Ĉu estas loka fako?
I am allergic to ____. Does this contain ____?,Mi estas alergia al____. Ĉu tio enhavas____?
I have diabetes. Does this contain sugar or carbohydrates?,Mi havas diabeton. Ĉu tio enhavas sukeron aŭ karbonhidratojn?
I don't eat ____. Is there ___ in this?,Mi ne manĝas____. Ĉu estas ___ en tio?
"I would like to order _[dish]_, please.","Mi ŝatas ordoni _[plado]_, bonvolu."
"We would like to order appetizers, please.","Ni ŝatas ordigi aperitivojn, bonvolu."
